"plate"	"Chain"	"SMARTindex"	"RawReads"	"ReadsWithPrimer"	"Ga12HC"	"Ga3HC"	"LaLC"	"KaLC"	"ReadsToFilter"	"PassedAberrantFilter"	"Aberrant_LC_reads"	"ReadsToOverlap"	"ShortInsert"	"MediumInserts"	"LongInserts"	"Overlapped"	"LengthFiltered"
"TRIMMER0091_P80"	"H"	"/nmspipeline/01-Processing/TRIMMER0091_P80/01-PrimerTrim//01-SMARTindex"	1e+05	310	310	0	0	0	310	310	0	310	65	219	26	284	213
"TRIMMER0091_P80"	"H"	"/nmspipeline/01-Processing/TRIMMER0091_P80/01-PrimerTrim//02-SMARTindex"	1e+05	116	115	1	0	0	116	116	0	116	10	92	14	102	89
"TRIMMER0091_P80"	"H"	"/nmspipeline/01-Processing/TRIMMER0091_P80/01-PrimerTrim//03-SMARTindex"	1e+05	1	1	0	0	0	1	1	0	1	1	0	0	1	0
"TRIMMER0091_P80"	"H"	"/nmspipeline/01-Processing/TRIMMER0091_P80/01-PrimerTrim//04-SMARTindex"	1e+05	154	154	0	0	0	154	154	0	154	21	122	11	143	119
"TRIMMER0091_P80"	"H"	"/nmspipeline/01-Processing/TRIMMER0091_P80/01-PrimerTrim//05-SMARTindex"	1e+05	354	354	0	0	0	354	354	0	354	37	299	18	336	292
"TRIMMER0091_P80"	"H"	"/nmspipeline/01-Processing/TRIMMER0091_P80/01-PrimerTrim//06-SMARTindex"	1e+05	50	49	1	0	0	50	50	0	50	21	26	3	47	23
"TRIMMER0091_P80"	"H"	"/nmspipeline/01-Processing/TRIMMER0091_P80/01-PrimerTrim//07-SMARTindex"	1e+05	199	165	34	0	0	199	199	0	199	35	140	24	175	134
"TRIMMER0091_P80"	"H"	"/nmspipeline/01-Processing/TRIMMER0091_P80/01-PrimerTrim//08-SMARTindex"	1e+05	141	141	0	0	0	141	141	0	141	32	103	6	135	99
"TRIMMER0091_P80"	"H"	"/nmspipeline/01-Processing/TRIMMER0091_P80/01-PrimerTrim//09-SMARTindex"	1e+05	50	50	0	0	0	50	50	0	50	23	25	2	48	24
"TRIMMER0091_P80"	"H"	"/nmspipeline/01-Processing/TRIMMER0091_P80/01-PrimerTrim//10-SMARTindex"	1e+05	9	7	2	0	0	9	9	0	9	7	2	0	9	0
"TRIMMER0091_P80"	"H"	"/nmspipeline/01-Processing/TRIMMER0091_P80/01-PrimerTrim//11-SMARTindex"	1e+05	572	566	6	0	0	572	572	0	572	26	498	48	524	492
"TRIMMER0091_P80"	"H"	"/nmspipeline/01-Processing/TRIMMER0091_P80/01-PrimerTrim//12-SMARTindex"	1e+05	161	161	0	0	0	161	161	0	161	20	119	22	139	114
"TRIMMER0091_P80"	"H"	"/nmspipeline/01-Processing/TRIMMER0091_P80/01-PrimerTrim//13-SMARTindex"	1e+05	390	390	0	0	0	390	390	0	390	27	339	24	366	335
"TRIMMER0091_P80"	"H"	"/nmspipeline/01-Processing/TRIMMER0091_P80/01-PrimerTrim//14-SMARTindex"	1e+05	258	257	1	0	0	258	258	0	258	28	188	42	216	185
"TRIMMER0091_P80"	"H"	"/nmspipeline/01-Processing/TRIMMER0091_P80/01-PrimerTrim//15-SMARTindex"	1e+05	84	84	0	0	0	84	84	0	84	25	48	11	73	42
"TRIMMER0091_P80"	"H"	"/nmspipeline/01-Processing/TRIMMER0091_P80/01-PrimerTrim//16-SMARTindex"	1e+05	8	8	0	0	0	8	8	0	8	4	3	1	7	3
"TRIMMER0091_P80"	"H"	"/nmspipeline/01-Processing/TRIMMER0091_P80/01-PrimerTrim//17-SMARTindex"	1e+05	327	327	0	0	0	327	327	0	327	39	265	23	304	263
"TRIMMER0091_P80"	"H"	"/nmspipeline/01-Processing/TRIMMER0091_P80/01-PrimerTrim//18-SMARTindex"	1e+05	34	33	1	0	0	34	34	0	34	18	15	1	33	9
